[1, 1.0]
[2, 0.9999999997671694]
[3, 0.9998995475742793]
[4, 0.9860601629623169]
[5, 0.8732112136229997]
[6, 0.6379447107436834]
[7, 0.39585885403830723]
[8, 0.22196337397028898]
[9, 0.1177190870502508]
[10, 0.06064434742264824]
[11, 0.030781564371677783]
[12, 0.015507319766249639]
[13, 0.007783008146109882]
[14, 0.0038988680382560092]
[15, 0.0019512783832865699]
[16, 0.0009761007049434722]
[17, 0.0004881657836202091]
[18, 0.00024411175620275838]
[19, 0.00012206309502538204]
[20, 6.1033351846928596e-05]
[21, 3.051712701995779e-05]
[22, 1.5258676285712092e-05]
[23, 7.629366337025267e-06]
[24, 3.8146902170410613e-06]
[25, 1.9073468706665153e-06]
[26, 9.536738758697538e-07]
[27, 4.7683704806900096e-07]
[28, 2.384185515680315e-07]
[29, 1.192092826673985e-07]
[30, 5.960464311005609e-08]
[31, 2.9802321943606103e-08]
[32, 1.4901161082825354e-08]
[33, 7.450580596923828e-09]
[34, 3.725290298461914e-09]
[35, 1.862645149230957e-09]
[36, 9.313225746154785e-10]
[37, 4.656612873077393e-10]
[38, 2.3283064365386963e-10]
[39, 1.1641532182693481e-10]
[40, 5.820766091346741e-11]
[41, 2.9103830456733704e-11]
[42, 1.4551915228366852e-11]
[43, 7.275957614183426e-12]
[44, 3.637978807091713e-12]
[45, 1.8189894035458565e-12]
[46, 9.094947017729282e-13]
[47, 4.547473508864641e-13]
[48, 2.2737367544323206e-13]
[49, 1.1368683772161603e-13]
[50, 5.684341886080802e-14]
[51, 2.842170943040401e-14]
[52, 1.4210854715202004e-14]
[53, 7.105427357601002e-15]
[54, 3.552713678800501e-15]
6.355175845103934
